feature,importance_mean,importance_std,abs_importance_mean
perp_volume_ratio_72h,-0.018423376737218927,0.011326523599304226,0.018423376737218927
spread_reversion_signal_168h,-0.004895229492987914,0.0044538991677069845,0.004895229492987914
spread_zscore_168h,-0.004895229492987914,0.0044538991677069845,0.004895229492987914
funding_positive_share_168h,-0.0016484934484067872,0.001559580800454773,0.0016484934484067872
perp_dollar_volume_raw,-0.0010560971284841857,0.00025814094695765863,0.0010560971284841857
spot_dollar_volume_raw,-0.0008166129404419053,0.00016623699198118304,0.0008166129404419053
spread_deviation_168h,-0.0006682354501288078,8.36212158097301e-05,0.0006682354501288078
spot_return_shock_24h,-0.0005048962870049873,0.00014204989686056514,0.0005048962870049873
spot_volume_ratio_8h,-0.0004286234234966161,0.0002316297892359774,0.0004286234234966161
spot_volume_ratio_24h,-0.0003820783641436783,0.0001734637842451282,0.0003820783641436783
perp_volume_ratio_168h,-0.0003666252076363676,4.548479820776652e-05,0.0003666252076363676
spot_volume_ratio_72h,0.00026687027353635464,1.3313801636588642e-05,0.00026687027353635464
spread_deviation_8h,-0.00015799943610417762,1.778993383575458e-05,0.00015799943610417762
spread_usd,0.0001577187918427962,2.8885865890054326e-06,0.0001577187918427962
spread_zscore_72h,-0.0001537756129793135,6.391715535662185e-05,0.0001537756129793135
spread_reversion_signal_72h,-0.0001537756129793135,6.391715535662185e-05,0.0001537756129793135
perp_volume_ratio_24h,0.0001530283940206387,2.4151043877972554e-05,0.0001530283940206387
spot_volume_raw,0.00010016549432098917,1.0190896559357482e-05,0.00010016549432098917
spot_volume,0.00010016549432098917,1.0190896559357482e-05,0.00010016549432098917
shock_regime,0.0001000440917831304,1.0285846630567497e-06,0.0001000440917831304
perp_return_shock_24h,-8.80752471461829e-05,1.3305296086884576e-05,8.80752471461829e-05
spot_abs_return_1h,8.102710027238439e-05,1.3761174662463433e-05,8.102710027238439e-05
spot_volume_ratio_168h,6.555045407555212e-05,5.542075148723242e-05,6.555045407555212e-05
perp_volume_ratio_8h,-6.541229023428335e-05,5.2833858629895585e-05,6.541229023428335e-05
spot_realized_vol_8h,-6.30058111220156e-05,3.682227346002771e-05,6.30058111220156e-05
spread_deviation_24h,5.462782938062922e-05,2.0939934799905783e-06,5.462782938062922e-05
spot_close,5.439324586566865e-05,1.795427789519924e-05,5.439324586566865e-05
perp_close,5.135032334161655e-05,1.7396638937599566e-05,5.135032334161655e-05
spread_bps,-5.1033818050323286e-05,1.0714635300858237e-05,5.1033818050323286e-05
spot_volume_change_1h,5.0682000313544126e-05,1.5002471336222398e-05,5.0682000313544126e-05
spread_mean_24h,-4.735494422611297e-05,1.3014207582399541e-06,4.735494422611297e-05
funding_std_72h,-3.2398731646791455e-05,3.709241070361555e-06,3.2398731646791455e-05
perp_volume_raw,3.0461885923375023e-05,2.3409157243657156e-06,3.0461885923375023e-05
perp_volume,3.0461885923375023e-05,2.3409157243657156e-06,3.0461885923375023e-05
spread_mean_72h,-2.8959501607442664e-05,3.9281603878208346e-06,2.8959501607442664e-05
spread_change_1h,-2.889083584697883e-05,2.2163997824546355e-06,2.889083584697883e-05
funding_std_168h,-2.819966806233029e-05,3.1233617321322258e-06,2.819966806233029e-05
funding_zscore_24h,-2.4830135310614233e-05,3.797140985554575e-05,2.4830135310614233e-05
spread_reversion_signal_8h,2.444999263492383e-05,1.66744236904241e-05,2.444999263492383e-05
spread_zscore_8h,2.444999263492383e-05,1.66744236904241e-05,2.444999263492383e-05
spread_x_perp_vol_24h,2.2693121252146765e-05,8.656163033222966e-07,2.2693121252146765e-05
spread_mean_8h,-2.2564530529578584e-05,2.6119520787492737e-06,2.2564530529578584e-05
funding_mean_168h,2.021058523188272e-05,1.2624337912616644e-06,2.021058523188272e-05
spread_change_24h,-1.9763274919773748e-05,3.3669763519126843e-06,1.9763274919773748e-05
funding_mean_72h,1.7739147526181572e-05,1.3390295660896886e-06,1.7739147526181572e-05
spot_realized_vol_24h,-1.7211200108255092e-05,2.798144915928793e-05,1.7211200108255092e-05
perp_realized_vol_24h,-1.5845408790566097e-05,2.287005026130365e-05,1.5845408790566097e-05
funding_positive_share_72h,1.5425004922582262e-05,2.250296487733801e-05,1.5425004922582262e-05
funding_event,-1.2106037781422553e-05,4.196574394605249e-06,1.2106037781422553e-05
funding_event_flag,-1.2106037781422553e-05,4.196574394605249e-06,1.2106037781422553e-05
spread_std_24h,1.1263212697627334e-05,5.764059577688791e-07,1.1263212697627334e-05
spot_realized_vol_72h,1.0813789396683416e-05,2.8716058727021287e-05,1.0813789396683416e-05
spot_return_1h,1.0704444111206824e-05,1.8382435081863245e-06,1.0704444111206824e-05
funding_std_24h,1.0108948857937418e-05,2.131490367315283e-06,1.0108948857937418e-05
wide_spread_regime,8.062397934149455e-06,3.6068429487914674e-06,8.062397934149455e-06
perp_abs_return_1h,7.847594108321326e-06,1.3778998930428507e-06,7.847594108321326e-06
spread_std_8h,-6.509081100145931e-06,5.553137364539695e-07,6.509081100145931e-06
perp_realized_vol_168h,-6.488717070162408e-06,3.2503069605991973e-06,6.488717070162408e-06
spread_std_72h,-6.340209043819366e-06,9.827037728796965e-07,6.340209043819366e-06
funding_mean_24h,-5.616150203863667e-06,4.3277153938276646e-07,5.616150203863667e-06
spread_std_168h,5.313907034400656e-06,1.4760116104808364e-06,5.313907034400656e-06
spread_zscore_24h,-4.052311482584034e-06,6.750485376109753e-07,4.052311482584034e-06
spread_reversion_signal_24h,-4.052311482584034e-06,6.750485376109753e-07,4.052311482584034e-06
perp_return_1h,-3.4634784342677906e-06,7.826345827772173e-07,3.4634784342677906e-06
perp_realized_vol_72h,3.4228454704466325e-06,5.625681187720483e-06,3.4228454704466325e-06
funding_sign,3.060423713515737e-06,1.3642866869445913e-05,3.060423713515737e-06
positive_funding_regime,-2.4769217012237723e-06,1.3785030801819692e-05,2.4769217012237723e-06
perp_realized_vol_8h,-2.4609416549641765e-06,1.5582294617128964e-06,2.4609416549641765e-06
funding_zscore_168h,-2.3916212649011915e-06,3.0108183229603492e-06,2.3916212649011915e-06
funding_positive_share_8h,-1.791269318194438e-06,1.383017649318082e-06,1.791269318194438e-06
perp_volume_change_1h,-1.4126979421569935e-06,6.091323943518447e-07,1.4126979421569935e-06
funding_mean_8h,-1.2083062071049011e-06,1.4474268540967952e-06,1.2083062071049011e-06
funding_std_8h,-1.080765386758534e-06,9.257733330693632e-07,1.080765386758534e-06
funding_x_perp_vol_24h,4.960560585082837e-07,2.8012328885595195e-07,4.960560585082837e-07
funding_positive_share_24h,-4.1749176835357333e-07,1.1964445676409404e-06,4.1749176835357333e-07
spread_deviation_72h,-4.1435250790997384e-07,0.0,4.1435250790997384e-07
funding_annualized_proxy,-2.9044312417834644e-07,4.6534287002050777e-07,2.9044312417834644e-07
funding_rate,-2.9044312417834644e-07,4.6534287002050777e-07,2.9044312417834644e-07
funding_rate_bps,-2.9044312417834644e-07,4.6534287002050777e-07,2.9044312417834644e-07
funding_rate_raw,-2.9044312417834644e-07,4.6534287002050777e-07,2.9044312417834644e-07
spot_realized_vol_168h,-2.070819543400766e-07,0.0,2.070819543400766e-07
funding_x_spread_bps,-1.245507257209089e-07,3.840640044115055e-07,1.245507257209089e-07
funding_zscore_24h__missing,-8.283278173603064e-08,1.0144902461430242e-07,8.283278173603064e-08
high_vol_regime,-4.141639086801532e-08,8.283278173603064e-08,4.141639086801532e-08
funding_zscore_72h,-3.7668386411362356e-11,1.3091057678736948e-07,3.7668386411362356e-11
perp_volume_ratio_168h__missing,0.0,0.0,0.0
spread_reversion_signal_168h__missing,0.0,0.0,0.0
spread_mean_168h__missing,0.0,0.0,0.0
spread_deviation_168h__missing,0.0,0.0,0.0
spot_volume_ratio_168h__missing,0.0,0.0,0.0
spread_std_168h__missing,0.0,0.0,0.0
spot_volume_change_1h__missing,0.0,0.0,0.0
spot_realized_vol_72h__missing,0.0,0.0,0.0
spot_realized_vol_168h__missing,0.0,0.0,0.0
spread_mean_168h,0.0,0.0,0.0
perp_realized_vol_72h__missing,0.0,0.0,0.0
perp_realized_vol_168h__missing,0.0,0.0,0.0
high_vol_regime__missing,0.0,0.0,0.0
funding_zscore_168h__missing,0.0,0.0,0.0
funding_std_168h__missing,0.0,0.0,0.0
funding_positive_share_168h__missing,0.0,0.0,0.0
funding_mean_168h__missing,0.0,0.0,0.0
spot_close_was_missing,0.0,0.0,0.0
spread_zscore_168h__missing,0.0,0.0,0.0
