feature,coefficient,abs_coefficient
spread_deviation_24h,0.5511098227986675,0.5511098227986675
spread_deviation_72h,0.5076059226410229,0.5076059226410229
spread_bps,0.4466383770966076,0.4466383770966076
spread_deviation_168h,0.43287914828277674,0.43287914828277674
spread_usd,0.4072965523513272,0.4072965523513272
spread_deviation_8h,0.39492579195041627,0.39492579195041627
spread_x_perp_vol_24h,0.3210670173261174,0.3210670173261174
funding_mean_72h,0.2778722860227359,0.2778722860227359
funding_mean_168h,0.26688430046490436,0.26688430046490436
spread_change_24h,0.25609618162137543,0.25609618162137543
funding_std_72h,0.22116709321707856,0.22116709321707856
spot_close_was_missing,0.21275292320848888,0.21275292320848888
spread_mean_8h,0.21180474933605684,0.21180474933605684
funding_std_168h,0.14273170133064422,0.14273170133064422
spread_std_8h,0.13524315170840986,0.13524315170840986
funding_positive_share_168h,0.12010768970376494,0.12010768970376494
spread_mean_24h,0.10967336177336351,0.10967336177336351
funding_mean_24h,0.10725914702887727,0.10725914702887727
funding_mean_8h,0.10619926002768341,0.10619926002768341
spread_mean_72h,0.10033696397473318,0.10033696397473318
spread_std_24h,0.08363386363762733,0.08363386363762733
funding_std_8h,0.07667814536953768,0.07667814536953768
funding_positive_share_72h,0.05061496440645534,0.05061496440645534
spread_reversion_signal_72h,-0.04937882827966425,0.04937882827966425
spread_zscore_72h,0.04937689955913291,0.04937689955913291
spread_reversion_signal_168h,-0.04926813449235597,0.04926813449235597
spread_zscore_168h,0.049266667725896676,0.049266667725896676
perp_realized_vol_168h__missing,0.03758212500903157,0.03758212500903157
spot_realized_vol_168h__missing,0.03750581207985577,0.03750581207985577
high_vol_regime__missing,0.025710115996702834,0.025710115996702834
funding_std_24h,0.020976144286939644,0.020976144286939644
spread_change_1h,0.017614853537950413,0.017614853537950413
funding_zscore_168h__missing,0.012328678460318978,0.012328678460318978
perp_volume_ratio_168h__missing,0.01231382489165136,0.01231382489165136
funding_std_168h__missing,0.012289502161124196,0.012289502161124196
funding_positive_share_168h__missing,0.012232496739276219,0.012232496739276219
spot_volume_ratio_168h__missing,0.0122066021915392,0.0122066021915392
funding_mean_168h__missing,0.012167958797453004,0.012167958797453004
spread_deviation_168h__missing,0.012147157715297747,0.012147157715297747
spread_mean_168h__missing,0.012098560252956374,0.012098560252956374
spread_zscore_168h__missing,0.012084641404604869,0.012084641404604869
spread_reversion_signal_168h__missing,0.012069431781827924,0.012069431781827924
spread_std_168h__missing,0.012064672457052863,0.012064672457052863
perp_realized_vol_72h__missing,0.0058788168147450555,0.0058788168147450555
spot_realized_vol_72h__missing,0.0058680203400733825,0.0058680203400733825
spread_mean_168h,0.001866669893100057,0.001866669893100057
spread_reversion_signal_8h,-0.0,0.0
spread_reversion_signal_24h,-0.0,0.0
spread_std_168h,0.0,0.0
spread_std_72h,0.0,0.0
spread_zscore_24h,0.0,0.0
spread_zscore_8h,0.0,0.0
wide_spread_regime,0.0,0.0
spot_volume_ratio_8h,0.0,0.0
funding_zscore_24h__missing,-0.0,0.0
spot_volume_change_1h__missing,0.0,0.0
spot_volume_raw,-0.0,0.0
funding_annualized_proxy,0.0,0.0
spot_volume_ratio_72h,0.0,0.0
funding_zscore_24h,-0.0,0.0
perp_realized_vol_8h,-0.0,0.0
perp_realized_vol_72h,-0.0,0.0
perp_realized_vol_24h,-0.0,0.0
perp_realized_vol_168h,-0.0,0.0
perp_dollar_volume_raw,0.0,0.0
perp_close,0.0,0.0
perp_abs_return_1h,-0.0,0.0
high_vol_regime,-0.0,0.0
funding_zscore_72h,-0.0,0.0
funding_zscore_168h,-0.0,0.0
spot_volume_ratio_24h,0.0,0.0
funding_x_spread_bps,0.0,0.0
funding_x_perp_vol_24h,0.0,0.0
funding_sign,-0.0,0.0
funding_rate_raw,0.0,0.0
funding_rate_bps,0.0,0.0
funding_rate,0.0,0.0
funding_positive_share_8h,0.0,0.0
funding_positive_share_24h,0.0,0.0
funding_event_flag,-0.0,0.0
perp_return_1h,-0.0,0.0
perp_return_shock_24h,0.0,0.0
perp_volume,-0.0,0.0
perp_volume_change_1h,0.0,0.0
spot_volume_ratio_168h,0.0,0.0
spot_volume_change_1h,0.0,0.0
spot_volume,-0.0,0.0
funding_event,-0.0,0.0
spot_return_1h,-0.0,0.0
spot_realized_vol_8h,-0.0,0.0
spot_realized_vol_72h,-0.0,0.0
spot_realized_vol_24h,-0.0,0.0
spot_realized_vol_168h,-0.0,0.0
spot_dollar_volume_raw,-0.0,0.0
spot_close,0.0,0.0
spot_abs_return_1h,-0.0,0.0
shock_regime,0.0,0.0
positive_funding_regime,0.0,0.0
perp_volume_raw,-0.0,0.0
perp_volume_ratio_8h,0.0,0.0
perp_volume_ratio_72h,0.0,0.0
perp_volume_ratio_24h,0.0,0.0
perp_volume_ratio_168h,0.0,0.0
spot_return_shock_24h,-0.0,0.0
